"filename", "language", "(Unsupported)", "C++", "HTML", "JSON", "Swift", "YAML", "Dart", "Markdown", "XML", "JavaScript", "TypeScript", "JSON with Comments", "Batch", "PowerShell", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\.gitignore", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\.metadata", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\.gitignore", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 8, 46
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 1, 46
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\kotlin\com\example\app_monitores\MainActivity.kt", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\mipmap-hdpi\ic_launcher.png", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\mipmap-mdpi\ic_launcher.png", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\assets\images\logo.jpg", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\.gitignore", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Flutter\AppFrameworkInfo.plist", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Flutter\Debug.xcconfig", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Flutter\Release.xcconfig", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner.xcodeproj\project.pbxproj", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner.xcodeproj\project.xcworkspace\contents.xcworkspacedata", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\WorkspaceSettings.xcsettings", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner.xcodeproj\xcshareddata\xcschemes\Runner.xcscheme", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner.xcworkspace\contents.xcworkspacedata", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner.xcworkspace\xcshareddata\WorkspaceSettings.xcsettings", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Jhonatan Hostia\Desktop\Jhona\Proyectos\app_monitores\ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-1024x1024@1x.png", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
